[2025-03-22 10:59:04,082] [INFO] [extensions] Inizializzazione estensione SQLAlchemy
[2025-03-22 10:59:08,302] [INFO] [extensions] Inizializzazione estensione SQLAlchemy
[2025-03-22 18:31:19,720] [INFO] [extensions] Inizializzazione estensione SQLAlchemy
[2025-03-22 18:31:23,150] [INFO] [extensions] Inizializzazione estensione SQLAlchemy
[2025-03-22 18:39:23,683] [INFO] [extensions] Inizializzazione estensione SQLAlchemy
2025-03-24 19:41:27,001 - extensions - INFO - Inizializzazione estensione SQLAlchemy
2025-03-24 19:41:46,732 - extensions - INFO - Inizializzazione estensione SQLAlchemy
2025-03-24 19:59:22,457 - extensions - INFO - Inizializzazione estensione SQLAlchemy
2025-03-24 19:59:31,931 - extensions - INFO - Inizializzazione estensione SQLAlchemy
2025-03-25 07:09:50,684 - extensions - INFO - Inizializzazione estensione SQLAlchemy
2025-03-25 07:20:57,629 - extensions - INFO - Inizializzazione estensione SQLAlchemy
2025-03-25 07:21:05,904 - extensions - INFO - Inizializzazione estensione SQLAlchemy
2025-03-25 07:27:46,011 - extensions - INFO - Inizializzazione estensione SQLAlchemy
2025-03-25 07:27:48,074 - extensions - INFO - Inizializzazione estensione SQLAlchemy
2025-03-25 09:35:24,397 - extensions - INFO - Inizializzazione estensione SQLAlchemy
2025-03-25 09:35:30,131 - extensions - INFO - Inizializzazione estensione SQLAlchemy
2025-03-25 12:28:33,721 - extensions - INFO - Inizializzazione estensione SQLAlchemy
2025-03-25 12:33:15,834 - extensions - INFO - Inizializzazione estensione SQLAlchemy
2025-03-31 20:28:45,180 - extensions - INFO - Inizializzazione estensione SQLAlchemy
2025-03-31 20:32:39,139 - extensions - INFO - Inizializzazione estensione SQLAlchemy
2025-03-31 20:32:42,744 - extensions - INFO - Inizializzazione estensione SQLAlchemy
2025-03-31 21:36:08,525 - extensions - INFO - Inizializzazione estensione SQLAlchemy
2025-03-31 21:36:14,735 - extensions - INFO - Inizializzazione estensione SQLAlchemy
2025-03-31 21:36:19,856 - extensions - INFO - Inizializzazione estensione SQLAlchemy
